gesture,gesture_class,index_disdis,index_interdis,index_metdis,index_prodis,little_disdis,little_interdis,little_metdis,little_prodis,middle_disdis,middle_interdis,middle_metdis,middle_prodis,ring_disdis,ring_interdis,ring_metdis,ring_prodis,thumb_disdis,thumb_interdis,thumb_metdis,thumb_prodis
A,1,91.8723118,65.36756161,36.7638576,36.82127091,78.94914608,55.79724264,6.499359431,31.8667328,105.9532343,77.4615879,26.66964542,39.68476441,98.61260306,70.7352584,13.25392582,33.16436645,27.552211,18.19401254,10.9924396,5.892578937
A,1,72.79186553,49.55015504,47.20084454,35.72617776,56.1898984,35.53168479,10.08893617,18.97219459,85.05341853,58.53826534,37.09262506,32.34860858,64.09412225,40.73986816,23.14378009,23.60017936,21.82333318,19.00945772,7.198687537,8.744819235
A,1,99.01012135,74.06538529,20.17675581,40.89952487,81.09312221,56.9150603,23.04123817,31.84255226,113.6711942,86.73193232,21.83501854,48.26882027,103.7573018,77.3271641,22.69407027,40.58685675,32.26671203,20.74090778,11.38917778,5.293001107
A,1,87.19628179,60.55229097,21.84398586,25.21582521,76.48373105,50.19427191,18.98221799,22.76496512,101.4729783,72.45778089,21.91496093,31.41239177,96.94749258,68.44411438,20.57388931,28.90306013,45.62267496,31.06696862,9.769834402,12.62455944
A,1,98.02656551,73.51543608,9.418340661,40.59053085,78.93878347,55.06962811,12.73066051,29.48205011,111.2468748,84.11894178,11.07265381,45.28840097,103.8887756,77.51324934,12.0627432,40.22998833,31.01670209,22.98727891,2.463744773,2.873868899
A,1,89.06593184,66.94610394,17.86689152,37.64779638,71.05289578,49.07422201,14.60269789,27.3946755,104.4072535,79.90289641,17.10882972,44.83788851,88.45136765,64.02115551,15.722115,31.62758689,18.77337515,16.71196063,7.684474851,6.393869366
A,1,95.31521575,69.02253599,16.40922449,30.98119534,70.4954897,44.99489044,10.66037444,19.56136053,109.2057562,80.44129155,15.31960066,36.161094,91.85077528,63.37983075,13.05618811,24.59813662,17.5640249,14.65496626,2.673327904,8.058374157
A,1,100.8790841,77.35290531,19.39217104,45.8130498,85.98393677,62.41068492,19.61508155,37.2610481,114.8658891,89.37345206,20.15306697,52.53688429,113.0101082,86.52430427,20.11934488,49.03483995,26.64082116,21.29868351,11.00060158,7.725204072
A,1,93.62453503,72.12819604,4.747581791,42.64300167,79.38324765,57.2336988,4.321449484,33.20185224,107.6594291,84.02262759,4.560990706,49.18282678,101.5028915,77.26829239,4.421088771,42.92106558,33.77427688,26.09354774,5.260018105,8.063063585
A,1,107.378991,79.90752115,15.76141083,41.13032717,95.49727975,67.85038336,13.14159923,36.85408209,124.2328212,94.06183706,15.21306235,48.69327611,120.2386487,90.49181669,14.19050467,46.47131009,20.92486601,14.80575371,10.02448591,7.076476019
A,1,84.87932454,59.96036032,15.31776623,26.84524926,55.82491128,33.40727609,13.89208463,12.72351583,97.59800767,70.09540068,15.29180305,30.85232228,73.71818059,48.9242674,14.66828902,17.57548756,23.94440283,18.75593589,7.907151481,7.903764929
A,1,98.23550188,74.23043974,7.241041253,39.02532254,67.15524229,43.39185496,15.41959667,18.47403058,112.0747991,85.17161867,10.56821055,42.76666181,95.337782,69.01673831,13.19513323,32.33629003,40.96298253,26.59309066,6.912079139,9.67944154
A,1,72.78589139,49.04333512,14.54767817,20.39683844,52.04497112,30.80016863,14.27434493,13.44454292,83.95007747,57.4408492,15.01831292,22.28218423,64.39449768,40.62740851,14.76586326,12.86608675,20.92845056,23.70657014,10.24301119,14.70982189
A,1,106.0788025,80.21736647,17.71878321,41.74184307,92.34317182,65.79034265,15.1833089,34.6232679,125.3503051,96.6199517,17.79018243,50.64027106,119.1827904,90.62763085,16.6515499,46.03132821,30.49757336,23.67312663,3.854850947,6.349017219
B,2,4.689105212,6.566316368,12.36924777,8.989878427,8.215686594,8.753096091,10.50060808,9.427941913,5.990632258,7.18919893,11.83840694,9.046656077,7.533846017,8.337289544,11.14132914,9.532161864,71.9703081,38.90247861,9.827090758,11.56059761
B,2,4.66885165,3.569326029,6.166645203,2.90829144,15.04482945,15.14641813,13.77821748,15.21714207,4.958722124,3.294845514,9.006484582,3.02594051,29.55494102,26.15411927,11.4847919,21.3459981,2.474416135,1.958937704,8.995709674,4.419748321
B,2,4.800841957,4.839237783,8.23829638,5.945259864,6.938469025,6.568258478,7.22305416,6.577393561,6.367920756,5.902234717,7.510317522,6.050148482,6.081087281,6.201467481,7.141910402,6.484828658,88.04493669,52.85399518,9.114202926,20.53431856
B,2,3.73899378,3.918280211,4.47320632,4.176265186,2.583429436,2.830220085,4.033191677,3.191553012,2.917709514,3.131341605,4.136509569,3.484890386,4.30921623,3.979932552,4.014997519,3.771145424,80.2700969,48.59632032,6.963862839,21.6002886
B,2,9.28782389,8.767451907,5.857224198,7.82530994,6.388572057,6.282514128,5.862995761,6.128640408,8.541859716,8.000178599,5.794165205,7.14487361,8.712752357,8.114872313,5.823884171,7.201095681,76.52373223,46.76476548,7.548285215,18.96433741
B,2,8.232933665,7.558707194,6.368678902,6.930144606,10.95161549,9.983436313,7.323095494,8.932998289,6.336077844,6.376614619,6.973840192,6.510445423,10.31767857,9.515274059,7.177106533,8.46231866,92.73032434,62.86732374,3.796264118,31.66309133
B,2,14.18380848,11.42190252,8.173425696,8.450413678,12.2538783,8.942058916,6.192241787,6.505936846,8.947888061,7.663432263,6.915795126,6.485455041,9.261645953,6.722390969,6.075562692,4.524763114,84.10345802,48.89664205,7.503746174,17.11200073
B,2,7.077240214,6.449559691,5.541893544,5.912010762,10.58755034,8.776393017,6.62548922,7.437986355,8.703629375,7.787916204,6.232892678,6.894005197,6.844058881,6.257895239,6.534026468,5.979931424,91.16169973,57.13410298,6.057021946,25.3316348
B,2,14.37596578,13.13055517,9.11032835,11.55905639,13.95326003,13.00253408,10.1481004,11.96276769,13.02035979,12.30704228,9.696170655,11.29658299,12.86740382,12.24767027,10.00632397,11.36955705,95.97772171,64.33284716,5.176473062,31.51640344
B,2,8.002903364,8.026038806,11.45426878,8.946424703,12.94101428,12.19583578,12.22441677,11.83282438,10.6301364,9.869754291,10.49898043,9.549969451,9.084016202,9.093090114,10.73275283,9.466749677,75.43445159,43.54183024,12.55761531,16.81724121
B,2,6.039387485,6.359852751,7.0922214,6.699291818,3.660322119,4.277015807,5.886842595,4.898114308,6.551505809,6.53478925,6.385523178,6.489036321,4.99777114,5.294470332,6.014299454,5.606950442,80.84471118,46.79017608,10.82649952,18.00790599
B,2,9.964891783,8.182532266,6.681435543,6.626019427,11.81923848,10.38119886,8.055471322,9.17997311,11.53453542,9.708874829,6.531227912,7.700213403,12.17848059,10.56336061,7.010610044,8.698564099,65.9461849,39.9727033,7.873117371,19.38533245
B,2,10.11229202,9.161828437,6.775101329,8.110547639,8.865845989,8.303317934,7.689149098,7.905229689,10.67929359,9.847310298,7.437204218,8.815516207,8.523898466,8.114490202,7.637344011,7.775662281,83.26483397,51.91865958,5.611389693,24.25830729
B,2,8.426799023,7.129089143,5.246541754,5.96674857,8.554920703,7.714751258,6.925831551,7.188114682,9.018100854,7.948127597,5.731317856,6.741597505,7.434009018,6.889062273,6.247779088,6.432864622,79.05813477,49.28619366,7.200167881,20.01739776
C,3,33.97749038,21.64159155,36.02257003,18.75009023,90.50700827,79.10885763,54.05330936,68.86928846,74.89809671,51.40561525,30.21602196,25.94295933,82.89102604,66.03350103,40.47052925,49.62766216,37.39338924,39.36645212,45.86564975,45.45004955
C,3,53.00290049,51.26715194,56.67573166,53.860617,54.08666192,44.84486435,33.2497447,39.61558675,30.8814725,17.02043964,29.72381013,17.67804667,32.24291819,15.32694718,16.61279181,7.68428853,63.25505792,60.43427767,44.63396011,58.44423423
C,3,34.58359706,34.16951877,52.97231439,40.67383447,67.00368772,53.01037769,33.17753465,42.67573806,28.40742157,18.79809372,33.11692746,19.79031572,59.38976009,40.42193627,24.97067889,24.72080871,54.97711785,52.54075205,46.03149926,52.09158171
C,3,52.96135005,49.35558978,61.07949429,52.58110092,60.64162691,46.03304196,31.48812039,38.04820389,54.87858847,32.43778216,38.16931478,26.24325796,54.89122092,31.43182496,24.80476182,17.4687271,60.2350476,56.82319648,46.28811026,52.52083225
C,3,54.34463792,31.44422232,34.02058037,10.74859908,17.66374582,25.32398014,64.06104166,47.10917784,60.59055412,34.20389664,44.45827081,14.43276841,52.17174582,24.31493498,54.13904904,20.9000347,42.46183561,36.34784403,52.73763154,30.69058288
C,3,26.95441562,18.19084772,44.96567057,27.54405762,76.09806051,68.04891005,61.00274516,64.14077645,52.9811376,29.42620025,39.76117363,18.2134584,67.70960654,50.9856838,48.11743345,42.22026976,50.3047719,46.91771621,46.02454984,45.29823389
C,3,46.02206762,32.34476829,47.79727495,30.70328835,73.03400587,61.03301303,37.06572908,50.42248031,65.89112902,45.41677271,30.36665478,24.81904304,63.68840678,48.82177219,27.34403612,34.40734689,52.12590625,51.30714856,51.50745776,52.69984479
C,3,44.24476824,42.02866035,63.98488165,50.12402474,52.74751854,43.50555854,33.48606562,37.32282182,47.71926555,30.38927974,44.78742917,26.68044068,39.31940973,28.29802254,33.16107853,24.61000325,64.66479518,62.38337549,57.79665396,60.51854018
C,3,30.81713631,25.57315115,47.63940028,31.42630441,66.35292242,58.82972424,50.97239895,55.22785013,45.25901727,25.16953305,34.39173305,6.831627429,54.43556091,39.29856023,38.43840645,33.27597659,46.52829269,45.21849593,57.15772109,48.77968876
C,3,58.84013226,49.3882044,49.84179762,45.34244379,65.86127948,50.57594589,32.62009469,40.20420502,61.34185198,43.16406394,25.98893242,24.8138028,62.62220466,39.46866625,16.35337191,17.57793176,47.31975588,46.48936332,36.30718352,43.01794873
C,3,61.61903344,54.51560419,59.48001723,52.67046048,60.83009176,45.81519328,30.44523897,36.40299396,57.63845171,35.98218368,35.5743142,24.84363985,54.69149709,30.22425608,22.06829415,8.718342449,58.3773164,58.12982337,50.32847706,55.91228059
C,3,37.35248174,29.87255997,54.53759311,37.34072043,56.70831661,51.23523416,41.64846808,47.17075929,52.34291031,34.01100269,38.91266535,25.11884725,37.98449269,31.47850274,34.82719442,30.00437392,54.320924,51.55566052,47.76512809,49.55747078
C,3,44.23023216,25.68535954,58.95011774,31.79541339,39.98129142,30.83170035,23.44775719,24.68612486,54.32232554,29.72924571,42.57166255,14.22565082,55.37990805,34.7748549,30.66106084,19.12507188,44.37889554,51.06939686,83.89282267,64.64727115
C,3,72.70324981,54.72497333,50.14720166,41.2770043,70.52929493,55.83604785,40.92716471,46.71054138,81.62217393,55.6520304,26.51857604,21.75916,72.1006896,47.31527745,23.83043493,21.2050676,57.40140743,56.62752072,45.89190615,54.67607564
D,4,30.65038719,25.05527946,9.012359024,18.31638114,100.6956131,77.52428016,10.59976292,51.52299149,90.08152722,71.86534725,10.54885278,46.62005692,127.4454837,101.6460901,10.84940325,63.75162683,82.99633964,64.05171381,11.78819426,32.62402358
D,4,20.74515939,18.09204971,15.84435794,15.69025618,74.95513314,57.33462736,15.61247243,39.03475478,82.58919043,64.92842608,15.0803881,41.26299132,89.05837845,70.02145591,14.84019787,44.29444769,58.86724628,44.51077299,27.19579622,20.50565932
D,4,10.51886379,9.723088532,7.422899554,8.814491956,77.09263582,57.78080436,6.157285396,36.83924728,89.95610696,69.26838976,7.123222325,41.10891184,94.08328283,73.05808257,6.56759011,43.4429297,71.70356089,51.13557257,10.77806527,23.5452274
D,4,12.95270034,14.24106083,14.72578505,15.19212926,71.1711665,50.98471671,7.999101405,29.80130242,90.26942613,67.03558845,11.95232966,35.39598305,85.94791083,63.94586998,9.623128872,33.66369847,54.32429009,40.86532219,19.07466285,18.17871596
D,4,31.5345209,28.09489276,19.14709815,24.21064257,89.54389861,72.85599566,22.89127432,53.96820013,111.0681327,90.67544072,20.98887236,61.6102917,103.4803538,85.28854495,22.06770016,58.72428256,61.14315234,49.33712262,5.013536688,25.87180262
D,4,19.87799887,17.52385194,12.96943058,15.39592315,98.98135167,73.46310288,12.50195379,45.69481572,125.3427819,97.60707116,12.76110648,57.07612803,121.8503539,94.12112662,12.46919755,54.29032045,64.95577944,48.72345691,14.04393093,21.66656597
D,4,21.9164242,22.04252703,18.82878796,21.66201231,76.49702683,55.22394143,17.7380349,33.66869781,66.11935739,47.54279141,18.23549534,26.11774266,94.88905256,71.20024294,17.85995168,39.31415423,38.84552255,26.54499968,20.13640463,19.13114765
D,4,20.82588972,18.39379391,12.85801713,16.00328407,87.59317622,65.66791631,12.49850556,42.46750598,96.2081811,73.26050445,12.10577915,42.60286452,107.3930146,82.72014443,11.98559994,48.53900039,55.07822442,40.98371281,14.35382224,17.37951697
D,4,11.11289742,10.36475528,8.129099138,9.649848325,85.33458417,63.84100247,5.462580822,39.54584824,77.62081862,57.96112615,5.5957698,31.88418812,105.4520876,81.33040863,4.668368863,45.70045378,61.15680371,47.35050979,13.1716557,25.14704753
D,4,16.92413399,16.69972948,15.59135326,16.42625032,82.34353494,63.56785854,13.7496044,43.31552633,96.50576629,75.22778495,12.40721431,45.89634691,90.84355226,71.36888943,11.75889663,44.42547705,80.53083538,58.23508612,15.80039659,26.27150458
D,4,19.4963452,18.18495657,13.27173486,16.40594593,92.51914249,70.49936784,11.56103792,45.94053646,91.32195516,70.40251311,12.16504017,42.2484197,111.8209657,87.63603116,11.44258342,52.20259651,48.97929871,37.95723795,10.48405678,19.0858934
D,4,12.85411557,12.44599223,10.50587474,11.8105837,74.36381893,54.65176124,7.947858696,34.51587925,57.57844405,43.27047825,7.755448633,25.06039051,84.79394788,64.42877227,6.954931754,37.51451027,65.42069033,44.51045287,21.55648154,21.97193756
D,4,4.128156327,4.485852033,8.331648755,5.750101853,75.03601218,52.05372238,11.57367886,26.35657044,106.8846392,80.60840697,10.22044335,41.9179772,99.25220539,74.26031898,11.09202694,37.54064518,64.85317943,40.36931914,7.395716344,15.06728964
D,4,16.03375453,14.68342515,6.727906511,12.08195856,78.97473543,56.81987004,7.50602537,33.40118554,111.080472,85.82701849,7.009316725,49.14990574,101.8358464,77.00003278,7.218818665,42.21721092,52.9626196,37.89478554,2.895875826,25.13850066
E,5,44.94736927,27.02254478,17.91712833,14.23859678,35.73513333,22.14005711,20.18960313,18.26086812,48.86681384,29.20377297,18.6972799,14.2728837,43.34475874,25.17427387,19.55854718,14.46477237,42.13065202,20.0640826,19.25370173,13.52226566
E,5,44.83105326,33.27843153,30.46428313,32.29991277,38.73925591,29.78660932,27.47062323,29.97250313,44.02796222,30.76694266,30.09059267,30.89884178,41.37892874,28.98572036,29.04616491,29.94734813,35.97315259,23.63673846,25.11806748,22.49590234
E,5,54.27844777,32.54762939,8.223909832,9.063071518,46.33864069,22.26952196,13.41170307,11.44155743,64.32614409,40.07322789,9.959111783,13.79401428,62.3637144,37.50055279,11.8224982,13.01936727,66.22484624,34.61185081,11.20832586,12.90519426
E,5,54.49554236,35.64597091,17.28476358,20.58428811,43.06606207,25.32860579,12.86816148,15.15161312,54.90649376,33.12204452,16.25879496,15.6873855,52.49318891,31.14000227,14.99071569,14.29565187,40.58137908,20.90151849,25.56205952,21.19241879
E,5,67.77755016,45.39637516,10.46344266,19.86337581,59.39806687,36.24082549,12.57909473,17.39833066,72.96454101,47.7124584,10.74352544,17.22721468,71.08321788,45.86061432,11.70903039,16.34619816,58.92706018,32.0461379,14.10721449,12.28345507
E,5,60.83158926,38.21885751,28.27865921,24.25577048,54.93690038,36.74514295,29.41485802,29.40379706,61.00443301,38.54623207,28.67167446,25.52928134,60.43645889,38.27548366,29.07067096,26.13814573,46.1543164,23.55417996,28.18479038,24.85898876
E,5,49.86423753,28.74551206,17.01975357,16.23779286,36.41707319,18.5463218,13.74926384,10.50431011,51.39620371,28.72512162,15.16446737,16.79719506,53.13403283,32.64826251,13.97712593,15.0533271,54.44117653,32.97040644,18.56447816,19.14107847
E,5,60.84712391,40.33081379,13.57106947,18.23663917,49.17766552,27.55869501,12.41279753,11.93115486,66.78837475,43.13407528,11.96280271,15.52947999,66.38351529,42.80615339,11.76245988,15.10282456,50.89855171,28.28801089,15.94632027,16.82223746
E,5,58.76980175,48.24113718,14.51539972,34.73278664,48.19764598,42.83633799,25.79301429,36.56142565,63.29060181,53.42064923,19.43393824,39.6807197,58.76887629,51.64089693,22.77638792,40.61027448,56.34585704,36.62699342,16.89232806,19.0375111
E,5,56.89543936,41.65128227,20.17548934,26.93817182,49.61142537,35.76670095,18.67329729,24.95686481,59.01435633,42.65789918,19.74082374,26.1204759,55.11882616,39.90717543,19.23873648,24.98416761,50.26339653,31.63626102,19.98432956,20.76674488
E,5,67.55120436,46.65116337,32.30443827,30.43098109,53.96155202,33.11946096,24.4115375,22.60537646,67.82405574,44.36143127,29.3264803,26.24734591,66.04669356,42.7424101,26.49966925,24.58573696,58.65064945,41.27411011,30.56882239,32.51336953
E,5,53.82085207,38.8351357,31.99927198,33.744933,46.16276076,34.39987245,30.64452195,32.42850513,53.8476094,36.81231034,31.87654587,31.86097654,51.53600049,35.16819739,31.47343123,31.02834167,36.0229951,23.07887611,28.85445558,24.05673163
E,5,57.69657536,34.73273788,17.66812002,16.64128798,47.72789417,24.75348705,15.18383177,15.24797114,61.61940492,35.84477404,16.36316842,16.26677127,61.38374289,35.82245114,15.67101063,15.00958384,52.02497835,31.60621466,23.95092803,21.85271088
E,5,63.48054344,39.08163842,6.978271273,9.703021769,54.85672704,30.56188162,10.3669191,12.92827139,71.0381081,44.05346555,8.556947614,10.28154762,68.29091717,41.2337374,9.72441478,9.520452701,62.44550445,31.16957574,5.723766159,6.419378194
F,6,110.456773,88.01655394,18.63621675,57.30304405,10.85033224,10.54325792,8.330383322,9.87988484,43.44560292,35.95469867,14.204255,26.37300399,13.22477552,12.71517009,9.76321593,11.65272913,73.35203701,51.79819515,16.92508935,31.11322019
F,6,117.269715,95.58229458,24.44247193,66.52706806,6.891201902,7.26915344,8.347961116,7.658033805,44.95147766,35.33914292,20.11900848,25.87186294,16.96062567,15.19845052,14.11697472,14.26374887,75.76510756,56.27963375,17.20973134,34.07707018
F,6,100.0994461,79.09257134,14.26457923,51.14209564,10.64150549,10.94576767,1.938474848,8.937364775,34.7341732,24.68730412,10.12518754,15.16457092,7.055954989,5.341110788,5.255019769,5.11301819,46.28876839,33.12467197,10.31515896,21.63781794
F,6,91.41099297,73.68833986,26.35500601,51.7620348,27.8469564,27.25302174,23.64042081,26.0143595,51.35379547,45.99362468,25.69149839,38.32669307,38.6433181,36.16907898,24.57643103,31.77904851,54.26713506,39.45465785,12.84040789,21.89886815
F,6,114.7706327,94.57857134,26.03828745,63.63628108,26.02783761,19.06488932,11.1106022,13.63970256,68.65669519,53.46746304,22.21135349,36.50229767,50.08622992,39.18353794,15.9934693,26.91725978,79.01122835,55.44289795,19.57509696,33.75838698
F,6,89.31558649,72.29893973,25.6840943,51.00300661,33.22046577,30.219178,22.12353993,27.61305719,56.17612572,46.77475513,24.54183911,36.57400445,42.73013138,35.82378874,23.27319887,29.6774631,53.38491773,34.83534519,12.5303609,20.23716068
F,6,91.94487196,72.76855209,21.10331375,48.63690043,34.42967258,33.35982127,25.13950852,31.11398612,38.79649307,35.13853109,20.95031754,30.62310635,28.05165208,29.21732869,22.46773996,28.24234424,42.54739012,21.834162,16.70424475,10.33986491
F,6,104.9064734,88.05795646,34.57810038,64.82479111,42.20280822,37.42299536,26.80717151,33.05319706,77.44451471,66.3498998,32.21264163,51.67613073,63.30064869,54.29118837,29.57844341,43.13416185,29.45208511,23.14637846,26.61616895,24.36589968
F,6,108.9323239,86.83875561,16.65270673,57.02538909,14.13895369,10.95594439,7.500220663,8.669349498,54.2547705,40.97922121,14.15820125,26.33812466,33.87185883,26.04647728,9.895231481,17.45180059,85.40133022,58.90678159,18.89645658,30.76972953
F,6,80.37464719,61.64080877,7.089488076,37.89561786,18.48628064,19.63750373,11.32977376,18.45558392,30.86548809,23.13185142,5.953231771,16.51521052,21.2393876,18.14367608,7.820714522,15.17725189,36.98061318,33.16296569,15.70866533,18.72854705
F,6,89.31558649,72.29893973,25.6840943,51.00300661,19.6268181,13.54348044,8.316010538,9.710088012,53.67620807,35.95469867,14.57136572,9.229547226,37.98449834,29.21732869,10.76120282,17.35901825,53.38491773,34.83534519,12.5303609,20.23716068
F,6,103.9792185,85.36034585,28.52900789,61.40339495,16.09464842,13.62275646,11.96256396,12.4320631,47.68721361,37.39719897,23.87716616,27.53695584,22.112193,21.29718122,17.3088145,20.07170548,66.58880321,49.56016696,11.44279449,30.34132314
F,6,8.278816884,9.941348198,18.28011622,13.44092132,5.368039646,4.035443556,13.96878818,4.786915057,6.152545571,6.59050423,14.57136572,9.229547226,4.275266426,2.840588089,13.06356296,3.488069093,7.671192406,5.755774665,13.43181683,8.780430627
F,6,109.0583077,93.09106878,30.97381764,67.59953397,26.65053607,22.60643942,14.03437711,18.90005348,60.53550275,50.96364263,26.41246198,39.08765327,45.29039435,38.87109305,20.20216807,30.51735374,58.57214924,40.00997811,10.12479471,24.59048136
G,7,65.91536466,54.01718561,40.10107365,42.04766511,110.1693769,106.372296,58.96554919,97.01486386,91.45705583,77.95422891,43.29716245,62.76633385,102.7486071,97.06894239,50.12517825,86.86345058,21.91988637,21.59859714,72.3194199,42.41942049
G,7,77.35060333,66.49886814,26.9051905,52.33294449,107.3486908,107.0756725,72.65658715,103.8284163,98.09693195,89.49102643,45.75868793,78.00949002,103.9868344,98.69673276,61.17679918,91.59128008,18.35632155,24.57081214,70.98502677,44.18878412
G,7,71.43297828,61.7961414,50.26714,52.84553085,109.4966186,106.2528832,76.08683744,100.6606546,95.55007786,82.16003329,58.29871623,68.73335105,103.0273175,94.74025752,66.82543866,86.29524354,39.51696761,25.99801248,57.8969689,29.94816801
G,7,67.95611514,59.88671124,52.88439913,53.25704501,103.7565967,101.8427994,78.25327401,102.0159445,91.40656041,77.96989248,61.62320598,71.15099602,97.97481353,89.29272005,70.21141157,87.18706794,32.02116249,28.09422382,58.15653337,37.24265798
G,7,84.8399351,71.49431554,41.85194272,56.29029233,90.13137631,74.59830139,30.02921686,57.35334422,104.5522555,86.08901103,32.51258296,61.11579694,87.40047056,73.15542707,26.4065581,52.73587433,30.60581448,16.95928266,11.40599444,11.64184684
G,7,114.9933382,97.94938177,44.59664226,75.0045167,114.0034143,98.15785618,41.81615899,78.17542652,131.6886181,112.0176756,42.09411019,82.0470449,124.4466536,105.9582701,40.47664722,77.77975688,56.05207668,38.46467271,16.74934139,27.77904098
G,7,78.8167034,53.24563202,45.57833217,27.53912569,69.58617002,47.80744947,47.51447449,35.05332232,91.8576805,63.95092208,46.99950988,31.64747423,83.20331274,55.79963649,47.28442865,28.77839171,16.1380318,19.42550405,28.87689388,26.1347825
G,7,127.5637692,103.3368822,31.98718512,71.2419936,140.1040432,123.4344105,61.39714239,102.400046,161.2549688,138.8282925,40.80336814,100.7495076,159.2939272,137.864753,51.38791586,103.6062442,43.89406097,40.88262718,34.16363728,36.21441602
G,7,67.40928022,54.47796512,32.87492068,39.3668051,126.976066,113.7754802,68.8721875,98.31611594,97.05791129,82.71235722,38.61768869,62.67362655,117.0610912,103.8766863,53.18157016,84.66837772,42.97113772,49.08756457,76.73362619,61.06014724
